Wavelenght (nm),Absorbance,Absorvance
190,336.89,332.22
205,301.66,300.29
220,126.83,126.7
235,48.46,48.82
250,48.7,49.19
265,78.76,78.88
280,57.03,57.48
295,25.85,26.31
310,21.49,21.66
325,20.36,20.3
340,14.91,14.83
355,8.63,8.92
370,4.27,4.45
385,1.44,1.63
400,-0.4,-0.52
415,-0.71,-0.65
430,0.93,1.17
445,3.62,3.66
460,6.35,6.51
475,7.83,8
490,6.42,6.48
505,02.02,2
520,1.2,1.2
535,1.5,1.28
550,02.02,1.83
565,1,1
580,-0.29,-.25
595,-2.13,-2.3
610,-2.72,-2.71
625,-3.6,-4.02
640,-4.15,-4.46
655,-3.65,-3.84
670,-3.91,-3.82
685,-3.9,-3.76
700,-3.8,-3.84
715,-4.12,-3.58
730,-4.18,-3.81
745,-4.61,-3.92
760,-4.35,-4.51
775,-3.14,-4.08
